"ST_CASE","YEAR","MONTH","DAY_WEEK","HOUR","ST_CO_FIPS","CITY","LATITUDE","LONGITUD","VE_TOTAL","PERSONS","PERMVIT","PERNOTMVIT","FATALS","FUNC_SYS","TYP_INT","REL_ROAD","MAN_COLL","LGT_COND","WEATHER"
"360865",2015,"Nov","Mon",13,"36047","4170",40.68300278,-73.86710278,1,3,"3","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360866",2015,"Nov","Tue",17,"36071","6410",41.26158611,-74.35984167,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360867",2015,"Nov","Tue",18,"36045","1110",44.06699722,-76.12996111,1,1,"1","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360868",2015,"Nov","Wed",22,"36047","4170",40.60070278,-73.99506667,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360869",2015,"Nov","Wed",19,"36047","4170",40.59478056,-73.99570833,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360870",2015,"Nov","Fri",20,"36055","5230",43.14097222,-77.60492222,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360871",2015,"Oct","Wed",23,"36067","6010",43.058625,-76.14998333,2,2,"2","0",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360872",2015,"Nov","Wed",17,"36001","1260",42.816675,-73.73051667,3,4,"4","0",1,"Main arterial","3-way intersection","On road","Front collision","Dark","Foggy or cloudy"
"360873",2015,"Nov","Sat",2,"36059","2600",40.70378889,-73.63587778,2,3,"3","0",1,"Local road","3-way intersection","On road","Front collision","Dark","Clear"
"360874",2015,"Nov","Sat",0,"36081","4170",40.67071667,-73.80104444,1,1,"1","1",1,"Interstate","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360875",2015,"Nov","Sun",5,"36001","3680",42.69022222,-73.74016111,1,1,"1","0",1,"Minor arterial","3-way intersection","Beside road","Non-vehicle collision","Dark","Clear"
