"ST_CASE","YEAR","MONTH","DAY_WEEK","HOUR","ST_CO_FIPS","CITY","LATITUDE","LONGITUD","VE_TOTAL","PERSONS","PERMVIT","PERNOTMVIT","FATALS","FUNC_SYS","TYP_INT","REL_ROAD","MAN_COLL","LGT_COND","WEATHER"
"360001",2015,"Jan","Thu",8,"36005","4170",40.83631111,-73.86991111,2,5,"5","0",1,"Local road","4-way intersection","On road","Front collision","Daylight","Clear"
"360002",2015,"Jan","Fri",9,"36011","5961",43.25097778,-76.67238333,2,3,"3","0",1,"Main arterial","Not intersection","On road","Angled collision","Daylight","Precipitation"
"360003",2015,"Jan","Sat",16,"36037","4686",42.91154444,-77.97596389,1,3,"3","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360004",2015,"Jan","Sat",11,"36089","0880",44.60562222,-75.13035,1,1,"1","1",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360005",2015,"Jan","Sun",11,"36119","6820",40.92804167,-73.84016389,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360006",2015,"Jan","Mon",0,"36029","0040",43.01798056,-78.47163889,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360007",2015,"Jan","Tue",14,"36075","5174",43.50803889,-76.15532778,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360008",2015,"Jan","Mon",18,"36059","2600",40.70445278,-73.62400833,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360009",2015,"Jan","Sat",13,"36027","5031",41.62961944,-73.69935278,2,2,"2","0",1,"Main arterial","3-way intersection","On road","Front collision","Daylight","Precipitation"
"360010",2015,"Jan","Tue",6,"36055","5230",43.18153333,-77.59923333,2,11,"11","0",1,"Local road","Not intersection","On road","Rear or side collision","Dawn or dusk","Foggy or cloudy"
"360011",2015,"Jan","Thu",14,"36067","1179",43.13102222,-76.17550278,1,1,"1","0",1,"Local road","Not intersection","Other location","Non-vehicle collision","Daylight","Clear"
"360012",2015,"Jan","Fri",19,"36059","4600",40.80160278,-73.46082778,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360013",2015,"Jan","Fri",12,"36075","5174",43.57137222,-76.03343611,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Precipitation"
"360014",2015,"Jan","Wed",15,"36083","6807",42.69216667,-73.68624167,2,3,"3","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360015",2015,"Jan","Wed",4,"36103","2840",40.82504722,-73.36575,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360016",2015,"Jan","Fri",22,"36111","3560",41.66142222,-74.01500833,2,2,"2","0",1,"Local road","Not intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360017",2015,"Jan","Sat",21,"36069","4770",42.93815833,-77.06934444,1,2,"2","0",2,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360018",2015,"Jan","Mon",20,"36059","3380",40.65514444,-73.670175,3,5,"5","0",2,"Main arterial","4-way intersection","On road","Front collision","Dark","Precipitation"
"360019",2015,"Jan","Mon",10,"36071","1140",41.34958333,-74.314275,1,1,"1","0",1,"Minor arterial","3-way intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360020",2015,"Jan","Mon",15,"36075","4085",43.49292778,-76.30284167,2,2,"2","0",1,"Collector","Not intersection","On road","Angled collision","Daylight","Precipitation"
"360021",2015,"Jan","Fri",9,"36029","3140",42.93471111,-78.69694167,2,4,"4","0",1,"Main arterial","Not intersection","On road","Angled collision","Daylight","Clear"
"360022",2015,"Jan","Mon",13,"36071","1169",41.44054722,-74.46154722,2,4,"4","0",1,"Local road","Not intersection","On road","Angled collision","Daylight","Precipitation"
"360023",2015,"Jan","Wed",10,"36069","4770",42.94671667,-76.99007778,1,2,"2","0",1,"Minor arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360024",2015,"Jan","Wed",17,"36089","1993",44.20702778,-75.06028056,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Foggy or cloudy"
"360025",2015,"Jan","Tue",3,"36081","4170",40.66460556,-73.79971667,1,3,"3","0",1,"Main arterial","Not intersection","Other location","Non-vehicle collision","Dark","Foggy or cloudy"
"360026",2015,"Jan","Wed",8,"36055","2495",43.29128889,-77.90827222,1,1,"1","0",1,"Minor arterial","Not intersection","Other location","Non-vehicle collision","Daylight","Clear"
"360027",2015,"Jan","Thu",6,"36063","4070",43.26043889,-78.74045833,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360028",2015,"Jan","Wed",23,"36081","4170",40.58180556,-73.84930833,2,4,"4","0",1,"Local road","3-way intersection","On road","Angled collision","Dark","Clear"
"360029",2015,"Jan","Fri",8,"36069","1640",42.92845833,-77.41318611,3,4,"4","0",1,"Minor arterial","Not intersection","On road","Front collision","Daylight","Precipitation"
"360030",2015,"Jan","Fri",18,"36103","1645",40.71016944,-73.42886389,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360031",2015,"Jan","Fri",22,"36119","5893",41.26445,-73.52926111,2,3,"3","0",1,"Minor arterial","3-way intersection","On road","Front collision","Dark","Clear"
"360032",2015,"Jan","Sat",23,"36091","1209",42.83647778,-73.82072222,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360033",2015,"Jan","Sun",14,"36115","0790",43.09785278,-73.38668333,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360034",2015,"Jan","Sun",6,"36027","5030",41.72243056,-73.91055556,1,1,"1","0",1,"Local road","3-way intersection","Other location","Non-vehicle collision","Dawn or dusk","Foggy or cloudy"
"360035",2015,"Jan","Sun",9,"36011","3339",42.67597222,-76.28616944,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360036",2015,"Jan","Sun",11,"36105","5276",41.93800278,-74.92800278,2,4,"4","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360037",2015,"Jan","Tue",19,"36103","5210",40.95743333,-72.57290556,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360038",2015,"Jan","Sun",17,"36105","3230",41.831125,-74.73827778,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Precipitation"
"360039",2015,"Jan","Sun",18,"36027","5110",41.97851111,-73.74483056,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360040",2015,"Jan","Mon",17,"36081","4170",40.78888889,-73.78696944,1,3,"3","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360041",2015,"Jan","Tue",22,"36027","4835",41.99004167,-73.68643611,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360042",2015,"Jan","Thu",20,"36091","9997",43.22798611,-73.595075,1,2,"2","0",2,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360043",2015,"Jan","Tue",20,"36059","2160",40.65626111,-73.59053611,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360044",2015,"Jan","Thu",14,"36059","2160",40.65374444,-73.56984444,3,3,"3","0",1,"Collector","Other intersection type","On road","Front collision","Daylight","Clear"
"360045",2015,"Jan","Fri",17,"36061","4170",40.75046667,-73.98736389,1,2,"2","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360046",2015,"Jan","Fri",17,"36075","4660",43.45780556,-76.11598889,2,5,"5","0",1,"Collector","3-way intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360047",2015,"Jan","Mon",16,"36025","6360",42.15741944,-75.06226667,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360048",2015,"Jan","Sat",3,"36109","2940",42.4585,-76.52634722,1,1,"1","1",1,"Minor arterial","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360049",2015,"Jan","Sat",16,"36063","5323",43.11919167,-78.57112778,2,2,"2","0",2,"Local road","Not intersection","On road","Angled collision","Daylight","Precipitation"
"360050",2015,"Jan","Mon",7,"36109","1000",42.45678889,-76.47834722,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Precipitation"
"360051",2015,"Jan","Mon",15,"36069","6280",99.9999,999.9999,2,3,"3","0",1,"Local road","Not intersection","On road","Angled collision","Daylight","Precipitation"
"360052",2015,"Jan","Wed",5,"36091","6731",43.13993333,-73.70813889,1,1,"1","0",1,"Local road","3-way intersection","Other location","Non-vehicle collision","Dark","Precipitation"
"360053",2015,"Jan","Fri",11,"36027","1221",41.91426389,-73.82223889,2,3,"3","0",1,"Local road","3-way intersection","On road","Front collision","Daylight","Clear"
"360054",2015,"Jan","Wed",5,"36059","2675",40.76563056,-73.54595556,1,1,"1","1",1,"Collector","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360055",2015,"Jan","Thu",21,"36081","4170",40.70924722,-73.79728889,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360056",2015,"Feb","Fri",12,"36029","0750",99.9999,999.9999,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360057",2015,"Jan","Fri",9,"36069","1640",42.90232778,-77.46954167,2,3,"3","0",2,"Main arterial","Not intersection","On road","Front collision","Daylight","Precipitation"
"360058",2015,"Jan","Fri",9,"36097","6480",42.34896667,-76.95390278,2,3,"3","0",1,"Local road","Not intersection","On road","Angled collision","Daylight","Clear"
"360059",2015,"Feb","Mon",22,"36047","4170",40.66282778,-73.88113889,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360060",2015,"Feb","Thu",8,"36001","0050",42.66552222,-73.77333611,1,1,"1","2",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360061",2015,"Feb","Tue",18,"36029","5940",42.51103889,-78.75140278,2,4,"4","0",1,"Main arterial","Not intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360062",2015,"Feb","Wed",18,"36061","4170",40.75458333,-74.00683611,2,3,"3","0",1,"Main arterial","4-way intersection","On road","Rear or side collision","Dark","Clear"
"360063",2015,"Feb","Fri",3,"36037","4725",99.9999,999.9999,2,3,"3","0",1,"Interstate","Not intersection","On road","Front collision","Dark","Precipitation"
"360064",2015,"Feb","Thu",3,"36119","0275",41.112425,-73.71232778,1,1,"1","0",1,"Local road","Not intersection","Other location","Non-vehicle collision","Dark","Foggy or cloudy"
"360065",2015,"Jan","Sun",10,"36059","4090",40.76363333,-73.64668889,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360066",2015,"Feb","Sat",2,"36115","9997",42.95925278,-73.42673889,1,4,"4","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360067",2015,"Feb","Sun",16,"36059","4090",40.77222778,-73.62578611,1,1,"1","0",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Daylight","Clear"
"360068",2015,"Feb","Tue",6,"36065","5260",43.20386944,-75.44939722,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dawn or dusk","Clear"
"360069",2015,"Feb","Sun",2,"36059","0460",40.91044167,-73.56168889,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360070",2015,"Feb","Tue",15,"36075","4540",43.41258056,-76.44482222,2,2,"2","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360071",2015,"Feb","Thu",17,"36047","4170",40.64802778,-73.88208611,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360072",2015,"Jan","Sat",7,"36071","3840",41.52684444,-74.23543333,1,2,"2","1",1,"Collector","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360073",2015,"Feb","Sat",10,"36013","5710",99.9999,999.9999,2,6,"5","1",2,"Interstate","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360074",2015,"Feb","Wed",12,"36087","4063",41.09091389,-73.98396944,1,2,"2","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360075",2015,"Feb","Thu",14,"36117","6760",43.20371667,-76.92324167,2,4,"4","0",1,"Main arterial","Not intersection","Beside road","Rear or side collision","Daylight","Precipitation"
"360076",2015,"Feb","Fri",5,"36081","4170",40.66627778,-73.79201667,2,2,"2","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360077",2015,"Feb","Thu",14,"36051","3930",42.73124722,-77.85751111,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360078",2015,"Jan","Fri",15,"36071","4828",41.59133056,-74.31243611,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360079",2015,"Jan","Sun",17,"36005","4170",40.88473056,-73.84041111,2,2,"2","2",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360080",2015,"Jan","Fri",21,"36005","4170",40.82480278,-73.89162778,2,5,"5","0",1,"Local road","Not intersection","On road","Angled collision","Dark","Clear"
"360081",2015,"Jan","Sun",10,"36105","0532",41.76078056,-74.86943611,1,5,"5","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360082",2015,"Jan","Sat",99,"36103","0705",40.78678889,-72.80120833,1,1,"1","0",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360083",2015,"Jan","Thu",17,"36103","2920",40.804225,-73.26890556,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360084",2015,"Jan","Thu",22,"36027","4690",41.583075,-73.59113611,1,1,"1","0",1,"Main arterial","3-way intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360085",2015,"Jan","Sun",6,"36103","1549",40.79613611,-73.34219722,1,1,"1","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360086",2015,"Jan","Wed",17,"36059","3960",40.800175,-73.68235278,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360087",2015,"Jan","Sun",1,"36103","0705",40.78397778,-72.91702222,3,4,"4","0",1,"Minor arterial","Not intersection","On road","Angled collision","Dark","Clear"
"360088",2015,"Jan","Mon",4,"36103","0360",40.76893889,-73.34895556,1,3,"3","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360089",2015,"Jan","Sun",21,"36067","6010",43.06694722,-76.17053333,3,5,"5","0",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360090",2015,"Jan","Fri",11,"36067","4491",43.00610556,-76.18500556,1,1,"1","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360091",2015,"Jan","Fri",18,"36081","4170",40.72923333,-73.74532778,1,2,"2","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360092",2015,"Jan","Wed",8,"36109","2940",42.447425,-76.56718333,2,3,"3","0",1,"Main arterial","Not intersection","Beside road","Front collision","Daylight","Clear"
"360093",2015,"Jan","Mon",9,"36047","4170",40.63308056,-73.97215278,4,5,"5","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360094",2015,"Feb","Mon",13,"36119","5350",99.9999,999.9999,5,3,"3","2",2,"Interstate","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360095",2015,"Feb","Wed",23,"36081","4170",40.66740556,-73.78283056,2,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360096",2015,"Jan","Sat",19,"36061","4170",40.76403333,-73.96663611,1,1,"1","2",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360097",2015,"Feb","Tue",18,"36119","6040",41.08626111,-73.78803333,1,1,"1","5",6,"Local road","Not intersection","On road","Non-vehicle collision","Dawn or dusk","Foggy or cloudy"
"360098",2015,"Feb","Thu",11,"36065","0403",43.25223056,-75.18463056,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360099",2015,"Feb","Wed",20,"36059","1740",40.64079444,-73.65961111,1,3,"3","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360100",2015,"Feb","Tue",3,"36085","4170",40.63159722,-74.14994722,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360101",2015,"Feb","Fri",13,"36023","3530",42.47291944,-75.97605833,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360102",2015,"Feb","Sat",1,"36037","0534",42.90151944,-78.19211667,2,7,"7","0",1,"Main arterial","4-way intersection","On road","Angled collision","Dark","Clear"
"360103",2015,"Feb","Fri",14,"36047","4170",40.61755278,-73.96380278,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360104",2015,"Feb","Sun",20,"36081","4170",40.74338611,-73.88887222,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360105",2015,"Mar","Sun",3,"36081","4170",99.9999,999.9999,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360106",2015,"Mar","Mon",16,"36085","4170",40.59044444,-74.106925,1,2,"2","0",1,"Local road","3-way intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360107",2015,"Mar","Mon",6,"36075","2200",43.23231667,-76.35206667,2,3,"3","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Precipitation"
"360108",2015,"Jan","Thu",18,"36067","4903",42.90279167,-76.01604722,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360109",2015,"Jan","Thu",9,"36071","5742",99.9999,999.9999,2,3,"1","2",1,"Interstate","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360110",2015,"Jan","Fri",10,"36061","4170",40.77956389,-73.95973333,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360111",2015,"Feb","Wed",19,"36087","5930",41.10916389,-74.0648,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360112",2015,"Feb","Tue",13,"36011","2011",42.86174167,-76.57405556,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360113",2015,"Mar","Tue",13,"36111","4875",41.67071944,-74.10481944,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360114",2015,"Mar","Wed",17,"36071","2695",99.9999,999.9999,1,2,"2","1",1,"Interstate","Not intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360115",2015,"Mar","Fri",18,"36001","1290",42.76438889,-73.88609167,1,4,"4","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360116",2015,"Mar","Mon",17,"36091","3462",99.9999,999.9999,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Dawn or dusk","Clear"
"360117",2015,"Mar","Sun",3,"36059","2600",40.71403889,-73.50197778,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360118",2015,"Mar","Mon",16,"36103","5210",40.958775,-72.67713333,1,1,"1","0",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360119",2015,"Mar","Wed",19,"36063","6730",43.27213611,-78.79020833,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dawn or dusk","Clear"
"360120",2015,"Mar","Tue",13,"36105","2053",41.57183056,-74.76641944,1,3,"3","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360121",2015,"Mar","Sat",1,"36053","1010",42.97401667,-75.83678056,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360122",2015,"Mar","Mon",8,"36047","4170",40.59876111,-74.00073056,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360123",2015,"Jan","Thu",9,"36103","5769",40.84005278,-73.16645833,2,5,"5","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360124",2015,"Jan","Mon",18,"36103","6805",40.73955,-73.36721389,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360125",2015,"Jan","Fri",10,"36103","2728",40.78184722,-73.08416667,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Front collision","Daylight","Clear"
"360126",2015,"Jan","Thu",14,"36103","2840",40.82841111,-73.40132222,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Front collision","Daylight","Clear"
"360127",2015,"Feb","Wed",11,"36103","1337",40.86878889,-73.00108333,2,4,"4","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Clear"
"360128",2015,"Jan","Fri",16,"36103","0705",40.82600278,-73.07102222,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360129",2015,"Mar","Tue",14,"36081","4170",40.76523056,-73.88885278,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360130",2015,"Mar","Fri",21,"36107","5910",42.22628056,-76.49432222,2,2,"2","0",1,"Main arterial","Not intersection","On road","Front collision","Dark","Clear"
"360131",2015,"Feb","Sat",2,"36103","0360",40.75685833,-73.32910833,1,1,"1","0",1,"Local road","Not intersection","Other location","Non-vehicle collision","Dark","Clear"
"360132",2015,"Feb","Sat",20,"36103","0360",40.75948333,-73.32823333,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360134",2015,"Mar","Wed",6,"36099","6440",42.91563333,-76.86016111,2,2,"2","0",1,"Local road","Not intersection","On road","Angled collision","Dawn or dusk","Precipitation"
"360135",2015,"Mar","Fri",4,"36085","4170",40.56156944,-74.19820278,2,5,"5","0",2,"Main arterial","Not intersection","On road","Front collision","Dark","Clear"
"360136",2015,"Mar","Sat",9,"36059","2600",40.70625278,-73.68089444,1,1,"1","0",1,"Local road","4-way intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360137",2015,"Mar","Tue",21,"36033","3460",44.82709722,-74.34272778,2,2,"2","0",1,"Main arterial","Not intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360138",2015,"Mar","Fri",18,"36005","4170",40.83905556,-73.91333333,2,5,"1","9",2,"Local road","Not intersection","Other location","Non-vehicle collision","Daylight","Precipitation"
"360139",2015,"Apr","Wed",23,"36081","4170",40.75314722,-73.79264444,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360140",2015,"Apr","Wed",22,"36001","2464",42.6896,-73.86429167,1,1,"1","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360141",2015,"Apr","Thu",15,"36091","2469",99.9999,999.9999,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360142",2015,"Mar","Mon",0,"36047","4170",40.67163611,-73.95035,2,4,"4","1",1,"Local road","4-way intersection","On road","Angled collision","Dark","Clear"
"360143",2015,"Mar","Tue",10,"36085","4170",40.53988056,-74.18691389,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360144",2015,"Jan","Sun",0,"36077","5170",42.7883,-75.006225,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360145",2015,"Mar","Wed",8,"36067","3500",43.00190556,-75.97663611,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360146",2015,"Mar","Thu",10,"36059","3120",40.77663333,-73.71364722,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360147",2015,"Feb","Tue",19,"36081","4170",40.71263056,-73.89937778,2,2,"2","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360148",2015,"Mar","Thu",14,"36001","0050",42.69301111,-73.83087222,1,1,"1","0",1,"Main arterial","Other intersection type","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360149",2015,"Apr","Thu",12,"36061","4170",40.81315833,-73.95033333,2,3,"3","0",1,"Minor arterial","3-way intersection","On road","Front collision","Daylight","Clear"
"360150",2015,"Apr","Fri",17,"36069","1961",43.03079167,-77.34195833,1,2,"2","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360151",2015,"Apr","Fri",12,"36091","3462",42.9687,-73.82256944,3,3,"3","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Clear"
"360152",2015,"Apr","Sun",4,"36081","4170",40.71664722,-73.79978611,1,2,"2","0",2,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360153",2015,"Apr","Sun",17,"36117","4640",43.05069444,-77.19166389,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Precipitation"
"360154",2015,"Apr","Sun",17,"36005","4170",40.82540278,-73.92346111,1,2,"2","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360155",2015,"Mar","Wed",15,"36047","4170",40.64986667,-73.88853889,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Precipitation"
"360156",2015,"Apr","Wed",14,"36063","3340",43.14449722,-78.81756667,2,2,"2","0",1,"Local road","Not intersection","On road","Front collision","Daylight","Precipitation"
"360157",2015,"Apr","Thu",10,"36059","4090",40.78377222,-73.70441944,3,4,"4","0",1,"Local road","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360158",2015,"Apr","Thu",13,"36081","4170",40.75093333,-73.74899722,2,2,"2","0",1,"Interstate","Not intersection","Other location","Non-vehicle collision","Daylight","Foggy or cloudy"
"360159",2015,"Mar","Thu",8,"36121","4750",42.74966944,-77.99088611,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Foggy or cloudy"
"360160",2015,"Apr","Fri",17,"36001","0050",42.6558,-73.78370278,2,3,"3","0",1,"Local road","4-way intersection","On road","Angled collision","Daylight","Clear"
"360161",2015,"Jan","Thu",7,"36103","0360",40.67422222,-73.39664722,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Daylight","Clear"
"360162",2015,"Feb","Mon",18,"36005","4170",40.87423333,-73.91026111,1,1,"1","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360163",2015,"Feb","Thu",20,"36005","4170",40.84440278,-73.90281389,1,2,"2","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
