"ST_CASE","VEH_NO","MAKE","MODEL","MOD_YEAR","VIN","NUMOCCS","TRAV_SP","DEFORMED","TOWED","DEATHS","SPEEDREL","OWNER","BODY_TYP"
"360334","2","48","401",2012,"JF2SHADC6CH4",1,NA,NA,"no",0,"no","other","utility vehicle"
"360335","1","72","706",2000,"1HD4CAM15YK1",1,20,"disabling","yes",1,"no","driver","motorcycle"
"360336","1","54","37",2001,"19UYA426X1A0",1,NA,NA,"yes",1,"yes","other","other car"
"360337","1","49","40",2012,"4T1BF1FK8CU0",2,5,"disabling","yes",1,"no","other","4-door sedan"
"360337","2","82","881",2015,"3ALHCYDT1FDG",1,NA,"disabling","yes",0,"no","other","truck"
"360338","1","59","403",2010,"2T2BK1BA5AC0",2,NA,NA,"yes",0,"no","driver","utility vehicle"
"360339","1","55","36",2012,"KMHCT5AE7CU0",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360340","1","37","32",2002,"1HGCG668X2A1",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360341","1","52","47",2013,"JA4JT3AW1DU0",1,NA,NA,"yes",0,"no","other","other car"
"360341","2","53","706",2005,"JS1GT76A2521",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360342","1","87","881",2008,"1XPWD09X88N7",1,50,NA,"yes",0,"no","other","truck"
"360343","1","49","51",2007,"JTDBT923X710",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360344","1","37","31",2013,"2HGFB2F57DH5",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360345","1","37","441",2001,"2HKRL186X1H5",1,NA,NA,"yes",0,"no","driver","van or bus"
"360345","2","24","1",2000,"1G8ZK5273YZ1",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360346","1","99","999",9999,"999999999999",1,NA,NA,"no",0,"no",NA,NA
"360347","1","6","441",2002,"2C4GP54L42R6",4,NA,NA,"yes",0,"no","other","van or bus"
"360347","2","76","705",2000,"JYARJ04EXYA0",1,NA,"disabling","yes",1,"yes",NA,"motorcycle"
"360348","1","55","401",2004,"KM8SB12B24U7",1,NA,NA,"yes",1,"no","driver","utility vehicle"
"360349","1","48","401",2015,"JF2SJAFC1FH4",2,NA,NA,"yes",1,"no","driver","utility vehicle"
"360349","2","23","481",2003,"1GTHK29U83E2",1,NA,NA,"yes",0,"no","driver","pickup"
"360350","1","41","50",2009,"1YVHP82B895M",2,0,"disabling","yes",1,"yes","driver","4-door sedan"
"360350","2","23","481",2004,"1GTHK29124E1",2,NA,"disabling","yes",0,"no","driver","pickup"
"360351","1","35","43",1991,"1N4EB31B9MC7",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360351","2","37","31",2010,"2HGFA1F95AH5",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360352","1","13","1",2001,"1LNHM82W71Y6",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360352","2","37","31",2001,"1HGES26711L0",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360353","1","37","31",2011,"2HGFA1F57BH5",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360353","2","35","47",2006,"1N4AL11DX6N3",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360353","3","7","482",2014,"1C6RR7LT5ES4",2,NA,"disabling","yes",0,"no","driver","pickup"
"360354","1","12","37",2013,"1FADP3F23DL1",2,NA,"disabling","yes",2,"no","driver","4-door sedan"
"360354","2","49","40",2015,"4T4BF1FK5FR4",1,NA,NA,"no",0,"no","other","4-door sedan"
"360354","3","20","481",2013,"1GCRKSE79DZ1",1,NA,NA,"yes",0,"no","driver","pickup"
"360354","4","41","53",2011,"JM3ER2BM5B03",1,NA,"disabling","yes",0,"no","other",NA
"360355","1","20","2",2004,"2G1WH52K6492",1,NA,"disabling","yes",1,"no","other","4-door sedan"
"360356","1","37","734",2008,"JH2TE36008K0",2,37,NA,"yes",1,"yes","other","other motorized transport"
"360357","1","42","42",2009,"WDDGF54X89F2",1,NA,NA,"yes",1,"no","other","4-door sedan"
"360357","2","86","882",2003,"1M2K195C83M0",1,NA,NA,"yes",0,"no","other","truck"
"360358","1","12","401",1999,"1FMZU24E5XUB",1,NA,NA,"no",0,"no","driver","utility vehicle"
"360358","2","49","40",2004,"4T1BE32K74U2",2,NA,NA,"no",0,"no","other","4-door sedan"
"360359","1","42","401",2014,"4JGDA5HB4EA2",3,NA,NA,"yes",0,"no","driver","utility vehicle"
"360359","2","49","40",2006,"4T1BF32K56U6",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360360","1","72","706",2015,"1HD1GYM18FC3",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360361","1","20","2",2011,"2G1WF5EK2B11",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360362","1","7","442",2007,"1D4GP24R97B1",1,NA,"disabling","yes",1,"no","other","van or bus"
"360363","1","30","42",2008,"WVWKC71K78W0",1,NA,"disabling","yes",1,"yes","other","other car"
"360363","2","12","481",1999,"1FTSW31F9XEC",2,NA,NA,"yes",0,"no","driver","pickup"
"360364","1","98","881",2001,"2WLNCD2F71K9",1,NA,"none","no",0,"no","other","truck"
"360365","1","98","739",2003,"4XACH50A03B7",2,NA,"disabling","yes",1,"no","other","other motorized transport"
"360366","1","84","881",2014,"1HTMMAAN3EH0",1,NA,"none","no",0,"no","other","truck"
"360367","1","2","404",2000,"1J4GW48S0YC4",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360367","2","63","34",2011,"KNAGM4AD9B50",3,NA,NA,"yes",1,"no","driver","4-door sedan"
"360368","1","37","739",9999,"999999999999",1,NA,NA,"yes",1,"yes",NA,"other motorized transport"
"360369","1","12","461",2014,"1FDSS3EL0EDB",3,NA,NA,"yes",1,"no","other","van or bus"
"360370","1","82","884",9999,"1FUJGLDV8FLG",1,NA,NA,"yes",0,"no","other","truck"
"360370","2","53","34",2008,"KL5JD56ZX8K9",1,NA,NA,"no",1,"no","other","4-door sedan"
"360371","1","12","461",2014,"1GCWGFCA4E11",1,NA,NA,"yes",0,"no","driver","van or bus"
"360372","1","49","44",1999,"2T1CF28P0XC2",1,NA,NA,"yes",1,"yes","driver","other car"
"360373","1","99","999",9999,"999999999999",1,NA,NA,"no",0,NA,NA,NA
"360373","2","99","999",9999,"999999999999",1,NA,NA,"no",0,NA,NA,NA
"360374","1","35","51",2008,"JN8AS58V78W1",1,NA,NA,"yes",0,"no","other","other car"
"360374","2","35","47",2003,"1N4AL11E63C2",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360375","1","22","18",2003,"1G2NF52F13C1",1,30,NA,"yes",0,"no","driver","4-door sedan"
"360376","1","20","401",2005,"1GNET16S7561",4,NA,NA,"yes",0,"no","driver","utility vehicle"
"360376","2","76","709",2012,"JYARN23EXCA0",1,110,"disabling","yes",1,"yes","driver","motorcycle"
"360377","1","59","403",2013,"JTJBC1BA8D20",3,NA,NA,"yes",0,"no","other","utility vehicle"
"360378","1","49","472",2011,"999999999999",1,NA,NA,"yes",1,"no","driver","pickup"
"360379","1","87","881",2006,"2XPLAZ8X16M6",1,35,NA,"no",0,"no","other","truck"
"360379","2","14","17",2004,"1MEFM50U54A6",2,35,"disabling","yes",1,"no","driver","4-door sedan"
"360380","1","34","709",2015,"WB10D2108FZ3",2,NA,NA,"yes",1,"no","driver","motorcycle"
"360380","2","34","709",2015,"WB10D210XFZ3",2,NA,NA,"yes",0,"yes","driver","motorcycle"
"360381","1","12","481",2012,"1FTFW1EF2CFC",1,NA,NA,"yes",0,"no","driver","pickup"
"360381","2","20","16",2000,"1G1JC5243Y74",2,NA,NA,"yes",1,"no","driver","4-door sedan"
"360382","1","30","40",2000,"3VWSC29MXYM0",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360382","2","59","403",2010,"2T2BK1BA6AC0",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360383","1","49","40",2013,"4T4BF1FK3DR2",1,24,NA,"yes",0,"no","driver","4-door sedan"
"360384","1","7","27",2010,"3D4PG4FB7AT2",1,NA,NA,"yes",0,"no","driver","other car"
"360384","2","76","705",2008,"JYARJ16E68A0",1,NA,"disabling","yes",1,"no","driver","motorcycle"
"360385","1","35","47",2015,"1N4AL3AP0FC2",2,NA,NA,"yes",1,"no","driver","4-door sedan"
"360386","1","20","2",2015,"2G1WB5E31F11",1,NA,"disabling","yes",1,"no","other","4-door sedan"
"360386","2","12","881",2013,"1FDUF5GT0DEA",2,NA,NA,"yes",0,"no","other","truck"
"360387","1","20","2",2002,"2G1WF55E8293",1,NA,NA,"no",0,"yes","driver","4-door sedan"
"360388","1","20","401",2001,"1GNCS13W6121",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360389","1","30","42",2015,"3VW5T7AU2FM0",3,NA,NA,"yes",1,"yes","other",NA
"360389","3","35","39",2004,"1N4BA41E74C9",4,0,NA,"yes",0,"no","driver","4-door sedan"
"360389","4","12","17",2010,"1FAHP2DW0AG1",2,0,NA,"yes",0,"no","other","4-door sedan"
"360390","1","12","16",2006,"2FAFP71W26X1",1,NA,"none","yes",0,"no","driver","4-door sedan"
"360391","1","37","32",1998,"1HGCG5545WA1",2,NA,"disabling","yes",1,"yes","other","4-door sedan"
"360391","2","20","2",2008,"2G1WB58N9812",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360392","1","12","402",2012,"1FMCU9D73CKA",1,71,"disabling","yes",0,"no","driver","utility vehicle"
"360392","2","59","31",1998,"JT8BF28G7W50",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360393","1","53","709",2002,"JS1GN7BA6221",1,NA,"disabling","yes",1,"yes",NA,"motorcycle"
"360393","2","37","421",2013,"5FNYF4H51DB0",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360394","1","14","6",1999,"2MEFM74W1XX6",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360394","2","2","404",2014,"1C4RJFAG0EC3",3,NA,"disabling","yes",0,"no","other","utility vehicle"
"360394","3","24","7",2004,"1G8AL52F04Z2",1,NA,"disabling","yes",0,"no","driver","4-door sedan"
"360395","1","49","40",2011,"JTDBU4EE2B91",4,NA,NA,"yes",0,"no","other","4-door sedan"
"360396","1","12","401",2006,"1FMEU73E76UA",1,NA,NA,"yes",0,"yes","driver","utility vehicle"
"360396","2","49","40",2005,"4T1BE32KX5U6",5,NA,NA,"yes",3,"no","driver","4-door sedan"
"360397","1","20","37",2006,"1G1ZS51F26F1",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360398","1","12","461",2006,"1FMRE11L66DA",2,NA,NA,"yes",1,"no","other","van or bus"
"360398","2","2","404",2014,"1C4PJMAB6EW1",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360399","1","98","809",2007,"2FZHAZCV47AY",2,NA,"none","no",0,"no","other","truck"
"360400","1","72","706",2012,"1HD1GZM14CC3",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360401","1","22","22",2005,"1G2ZG5287541",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360402","1","35","47",2013,"1N4AL3AP8DC2",1,80,"disabling","yes",1,"yes","driver","4-door sedan"
"360403","1","12","499",1966,"999999999999",2,0,NA,"no",0,"no","driver","pickup"
"360403","2","12","481",2003,"1FDNX20L03ED",1,NA,NA,"yes",0,"no","other","pickup"
"360403","3","55","35",2003,"KMHDN45D03U6",1,NA,NA,"no",0,"no","other","4-door sedan"
"360403","4","72","706",2012,"1HD1CZ318CC4",1,NA,"disabling","yes",1,"no","driver","motorcycle"
"360404","1","12","481",2013,"1FTFW1EF3DFA",1,NA,"disabling","yes",1,"no","driver","pickup"
"360404","2","86","882",2004,"1M2K189C64M0",1,NA,NA,"yes",0,"no","other","truck"
"360405","1","2","404",2004,"1J4GW48S94C3",1,NA,NA,"yes",1,"no","driver","utility vehicle"
"360406","1","20","481",2003,"2GCEK19T7313",1,52,"disabling","yes",0,"no","driver","pickup"
"360406","2","49","402",2007,"5TDBK22C27S0",3,39,NA,"yes",1,"no","other","utility vehicle"
"360407","1","37","31",2004,"SHHEP33554U5",1,NA,"disabling","yes",1,"yes","driver","other car"
"360408","1","72","706",2012,"1HD1KBM13CB6",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360409","1","55","42",2013,"KMHTC6AD9DU1",1,0,NA,"yes",0,"no","other","other car"
"360409","2","20","403",2004,"1GNDT13S6424",3,NA,"disabling","yes",1,"no","other","utility vehicle"
"360410","1","12","17",1998,"1FAFP58S7WA1",2,NA,NA,"yes",1,"no","driver","other car"
"360411","1","7","25",2012,"1C3CDWDA0CD5",1,35,NA,"yes",0,"no","driver",NA
"360412","1","13","1",2009,"2LNHM82V49X6",1,25,NA,"yes",0,"no","other","4-door sedan"
"360413","1","53","709",1998,"999999999999",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360414","1","55","35",2010,"KMHDU4AD6AU8",1,NA,"disabling","yes",1,"yes","other","4-door sedan"
"360415","1","72","706",2011,"1HD1KB418BB6",2,NA,"disabling","yes",2,"yes","driver","motorcycle"
"360416","1","41","402",2004,"4F2CZ94124KM",2,NA,NA,"yes",0,"no","other","utility vehicle"
"360417","1","37","421",2012,"5FNYF4H9XCB0",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360417","2","49","40",2014,"4T1BF1FK9EU4",4,0,NA,"yes",0,"no","other","4-door sedan"
"360417","3","52","34",2004,"4A3AB46F24E1",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360418","1","37","471",2006,"2HJYK16506H5",1,NA,NA,"no",0,"no","other","pickup"
"360419","1","49","40",1991,"4T1SV21EXMU3",1,45,"disabling","yes",1,"no","driver","4-door sedan"
"360420","1","37","402",2001,"JHLRD187X1S0",2,NA,NA,"no",1,"no","driver","utility vehicle"
"360421","1","12","461",1989,"1FTDE14YXKHA",1,NA,NA,"yes",0,"no","driver","van or bus"
"360422","1","37","421",2015,"5FNYF4H50FB0",1,NA,NA,"no",0,NA,"driver","utility vehicle"
"360423","1","2","999",1970,"999999999999",1,50,NA,"yes",1,"no","driver","truck"
"360424","1","87","881",2015,"1NPXX4EX9FD2",1,NA,NA,"yes",0,"no","other","truck"
"360425","1","12","24",2007,"2FMDK48C07BA",3,NA,NA,"yes",0,"no","driver","other car"
"360425","2","37","705",1986,"JH2RC1906GM2",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360426","1","20","32",2002,"1Y1SK52842Z4",2,NA,NA,"yes",1,"no","driver","4-door sedan"
"360426","2","23","423",2014,"1GKKRRKDXEJ2",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360427","1","7","482",2004,"1D7HU18D24S6",1,0,NA,"yes",0,"no","other","pickup"
"360427","2","20","37",1999,"1G1ND52TXX62",3,0,"disabling","yes",1,"no","other","4-door sedan"
"360427","3","12","481",2014,"1FTFX1EF6EFC",2,NA,NA,"yes",0,"no","other","pickup"
"360428","1","35","43",2003,"3N1CB51D23L7",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360428","2","35","47",2007,"1N4AL21E47C1",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360429","1","7","482",2003,"3D7KU28D83G7",2,NA,NA,"yes",0,"no","other","pickup"
"360430","1","35","47",2013,"1N4AL3AP8DC1",1,NA,NA,"no",0,"no","driver","4-door sedan"
"360431","1","7","24",2008,"2B3KA43HX8H2",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360431","2","12","37",2006,"1FAHP36NX6W1",1,NA,NA,"yes",1,"no","driver","other car"
"360432","1","76","705",1999,"JYARJ04E0XA0",1,50,NA,"no",1,"yes",NA,"motorcycle"
"360433","1","59","32",2000,"JT8BH28F5Y01",2,NA,NA,"yes",0,"yes","driver","4-door sedan"
"360433","2","49","43",2002,"4T1BF28B22U2",3,NA,NA,"yes",1,"no","other","4-door sedan"
"360434","1","7","472",2005,"1D7HW58N55S2",1,NA,NA,"yes",0,"no","driver","pickup"
"360434","2","13","1",2007,"1L1FM88W87Y6",9,NA,"disabling","yes",4,"no","other",NA
"360435","1","49","472",2015,"5TFUU4EN0FX1",2,10,NA,"yes",0,"no","driver","pickup"
"360435","2","20","481",2003,"1GCEK14V43Z1",2,35,NA,"yes",1,"no","driver","pickup"
"360436","1","6","499",2000,"999999999999",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360437","1","55","35",2003,"KMHDN45D73U6",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360438","1","35","402",2005,"5N1AN08W75C6",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360438","2","37","32",2000,"1HGCG3171YA0",3,NA,NA,"yes",1,"no","other","other car"
"360439","1","35","43",2003,"3N1AB51AX3L7",1,NA,NA,"yes",0,"yes","other","4-door sedan"
"360439","2","37","31",2013,"2HGFB2F57DH5",1,0,NA,"yes",1,"no","other","4-door sedan"
"360440","1","59","421",2013,"JTJHY7AX7D41",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360441","1","7","442",2012,"2C4RDGDG1CR1",2,NA,NA,"no",0,"no","other","van or bus"
"360442","1","32","49",2014,"WAULFAFR8EA0",3,NA,"none","yes",1,"yes","other","other car"
"360443","1","20","421",2005,"1GNEK13T25J2",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360444","1","12","461",2004,"1FTSE34L34HA",2,NA,NA,"yes",0,"no","driver","van or bus"
"360445","1","49","40",2014,"4T4BF1FK9ER4",3,NA,NA,"no",0,"no","driver","4-door sedan"
"360446","1","42","461",2013,"WD3PF3CC7D58",2,NA,NA,"no",0,"no","other","van or bus"
"360447","1","98","739",2008,"999999999999",2,NA,NA,"yes",1,"yes",NA,"other motorized transport"
"360448","1","12","471",2000,"1FTZR15X9YTB",1,NA,"disabling","yes",1,"no","driver","pickup"
"360449","1","34","34",1999,"WBABJ8337XEM",1,NA,NA,"yes",1,"yes","driver","other car"
"360450","1","20","37",2000,"1G1ND52J1Y63",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360451","1","20","16",2005,"1G1JC12F3571",1,NA,NA,"yes",1,"no","other","4-door sedan"
"360452","1","35","47",2007,"1N4AL21E77C1",3,NA,NA,"no",0,"no","other","4-door sedan"
"360453","1","20","471",1998,"1GCCS1943W82",2,50,"disabling","yes",1,"yes","other","pickup"
"360454","1","34","34",2008,"WBAVD53508A2",4,NA,NA,"yes",1,"yes","other","4-door sedan"
"360455","1","73","705",2005,"JKBZXJC115A0",1,NA,NA,"yes",1,"no","other","motorcycle"
"360455","2","37","402",2014,"2HKRM3H7XEH5",3,NA,NA,"yes",0,"no","other","utility vehicle"
"360456","1","35","47",2013,"1N4AL3AP8DC1",2,NA,"disabling","yes",1,"no","other","4-door sedan"
"360456","2","6","441",2012,"2C4RC1BGXCR3",1,NA,NA,"yes",0,"no","other","van or bus"
"360457","1","2","403",2003,"1J4FA59S03P3",1,NA,"disabling","yes",1,"yes","other","utility vehicle"
"360458","1","63","32",2011,"KNADH5A35B68",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360458","2","37","421",2015,"5FNYF4H34FB0",2,NA,"disabling","yes",0,"no","driver","utility vehicle"
"360459","1","12","481",2007,"1FTRF12267NA",1,NA,NA,"yes",1,"no","driver","pickup"
"360460","1","12","461",2001,"1FTSE34LX1HA",0,NA,"none","yes",0,NA,NA,"van or bus"
"360461","1","73","705",2006,"JKBZXJD146A0",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360461","2","6","441",2007,"2A4GP44R77R3",1,NA,NA,"yes",0,"no","other","van or bus"
"360462","1","59","31",2011,"JTHBK1EG7B24",2,NA,NA,"yes",0,"no","other","4-door sedan"
"360463","1","12","402",2012,"1FMCU9E7XCKA",3,NA,"disabling","yes",1,"yes","other","utility vehicle"
"360464","1","12","17",2007,"1FAFP53U17A1",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360464","2","2","1",2011,"1J4NF1FBXBD1",2,NA,NA,"yes",0,"no","driver","other car"
"360465","1","7","26",2013,"1C3CDZAB3DN6",1,23,NA,"yes",0,"no","driver","4-door sedan"
"360466","1","49","32",1999,"2T1BR18E2XC1",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360467","1","7","482",2011,"3D7TT2CT0BG5",1,NA,NA,"yes",0,"no","driver","pickup"
"360468","1","49","40",1997,"4T1BF22KXVU9",1,NA,"disabling","yes",0,"no","driver","4-door sedan"
"360468","2","24","5",2003,"1G8JU54F53Y5",5,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360469","1","49","43",2001,"4T1BF28B51U1",1,NA,NA,"yes",1,"no","other","4-door sedan"
"360470","1","20","444",2005,"1GNDV23L15D1",2,NA,"disabling","yes",1,"no","driver","van or bus"
"360471","1","53","705",2008,"JS1GN7EA6821",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360472","1","37","441",2014,"5FNRL5H45EB0",1,NA,NA,"yes",0,"no","other","van or bus"
"360472","2","35","443",2006,"5N1BV28U96N1",3,NA,NA,"yes",1,"no","other","van or bus"
"360473","1","71","709",2013,"999999999999",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360473","2","20","461",2013,"1GAZG1FA0D11",5,NA,NA,"no",0,"no","other","van or bus"
"360473","3","12","481",2012,"1FTFW1ET1CFB",2,NA,NA,"no",0,"no","driver","pickup"
"360474","1","72","709",2007,"999999999999",2,NA,NA,"yes",2,"no","driver","motorcycle"
"360474","2","2","404",2008,"1J8GR48K98C2",1,0,NA,"yes",0,"no","other","utility vehicle"
"360475","1","2","404",2015,"1C4RJFBG6FC8",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360475","2","54","35",2004,"19UUA66234A0",3,NA,NA,"yes",1,"no","other","4-door sedan"
"360476","1","37","32",2014,"1HGCR2F89EA1",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360477","1","73","705",2001,"JKAZX4J141A0",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360478","1","20","481",2004,"2GCEK19T5413",1,NA,NA,"yes",0,"no","driver","pickup"
"360479","1","52","37",2003,"4A3AC44G43E0",4,NA,NA,"yes",1,"yes","other","other car"
"360480","1","20","22",2006,"1G1AL55F2677",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360480","2","58","37",2011,"JN1CV6ARXBM4",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360481","1","98","739",2014,"999999999999",1,NA,"disabling","yes",1,"no",NA,"other motorized transport"
"360482","1","20","473",2007,"1GCCS199X782",1,NA,NA,"yes",1,"no","driver","pickup"
"360483","1","42","46",2010,"WDDEJ8GB8AA0",2,NA,NA,"yes",0,"yes","driver","other car"
"360484","1","63","401",2015,"KNDPB3AC9F77",5,NA,"disabling","yes",1,"no","other","utility vehicle"
"360485","1","12","401",2001,"1FMZU72EX1ZA",1,NA,"disabling","yes",1,"no","other","utility vehicle"
"360486","1","98","709",1996,"NY52248",1,45,NA,"yes",1,"yes","other","motorcycle"
"360487","1","2","404",2006,"1J4GR48K66C1",1,NA,NA,"no",0,"no","other","utility vehicle"
"360488","1","37","31",1989,"JHMED835XKS0",2,NA,"disabling","yes",1,"no","driver","other car"
"360488","2","2","403",2013,"1C4BJWFG9DL6",2,NA,NA,"yes",0,"no","driver","utility vehicle"
"360489","1","73","709",2013,"JKBZXJE11DA0",1,NA,NA,"no",1,"yes","other","motorcycle"
"360490","1","72","706",2001,"1HD1BMY181Y0",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360490","2","23","421",2003,"1GKEK13Z73J2",1,NA,NA,"yes",0,"no","other","utility vehicle"
"360491","1","45","31",2013,"WP0AB2A91DS1",2,NA,"disabling","yes",1,"yes","other","other car"
"360492","1","37","32",2011,"1HGCS1B33BA0",1,NA,NA,"yes",1,"yes","driver","other car"
"360493","1","76","709",2003,"999999999999",1,NA,"disabling","yes",1,"yes","other","motorcycle"
"360493","2","48","38",2012,"JF1GPAD65CH2",1,NA,NA,"yes",0,"no","driver","other car"
"360493","3","12","461",2005,"1FBNE31L85HA",2,NA,NA,"yes",0,"no","other","van or bus"
"360493","4","22","20",2006,"2G2WP5520612",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360494","1","76","706",2002,"JYAVP14E12A0",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360495","1","12","21",2006,"1FAHP28176G1",1,NA,NA,"no",0,"no","other","4-door sedan"
"360496","1","54","31",1995,"JH4DC2388SS0",1,NA,"disabling","yes",1,"yes","driver","other car"
"360497","1","76","706",2006,"JYAVP17E16A0",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360498","1","37","706",1999,"1HFSC1804XA3",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360499","1","84","881",1999,"1HTSHAAR6XH2",2,NA,"disabling","yes",1,"yes","other","truck"
"360500","1","35","446",2014,"3N6CM0KN8EK6",1,NA,NA,"yes",1,"no","driver","van or bus"
"360501","1","12","481",2008,"1FTSW21508ED",1,NA,NA,"yes",1,"no","other","pickup"
"360502","1","7","402",2003,"1D4HS58NX3F5",1,80,"disabling","yes",1,"yes","driver","utility vehicle"
"360503","1","37","705",1987,"JH2PC1905HM0",1,90,"disabling","yes",1,"yes","other","motorcycle"
"360504","1","12","444",2011,"NM0LS7BN1BT0",1,NA,"disabling","yes",1,"yes","other","van or bus"
"360504","2","51","881",2015,"4V4NC9EH7FN9",1,NA,NA,"yes",0,"no","other","truck"
"360505","1","20","2",2015,"2G1WA5E3XF11",2,NA,NA,"yes",1,"no","other","4-door sedan"
"360505","2","55","35",2015,"5NPDH4AE3FH5",1,NA,"disabling","yes",0,"no","driver","4-door sedan"
"360506","1","20","431",1995,"3GNFK16K4SG1",1,NA,NA,"yes",0,"no","driver",NA
"360507","1","62","421",2013,"SALVP2BG7DH8",2,NA,NA,"yes",1,"yes","other","utility vehicle"
"360507","2","35","51",2012,"JN8AS5MV3CW4",2,0,NA,"yes",0,"no","other","other car"
"360508","1","7","422",2004,"1D4HB48N54F2",1,NA,NA,"no",0,"no","other","utility vehicle"
"360509","1","98","998",1960,"999999999999",1,NA,"none","no",1,"no",NA,"other motorized transport"
"360510","1","52","47",2003,"JA4LZ31G23U1",2,NA,NA,"yes",0,"no","driver","other car"
"360510","2","63","441",2006,"KNDMB2330660",1,NA,NA,"yes",1,"no","driver","van or bus"
"360511","1","77","706",2010,"5VPDB36D7A30",1,NA,"disabling","yes",1,"no","driver","motorcycle"
"360512","1","12","23",2012,"3FAHP0CG4CR3",3,NA,"disabling","yes",1,"yes","other","4-door sedan"
"360513","1","20","404",2015,"2GNALAEK9F11",1,NA,NA,"yes",0,"no","driver","utility vehicle"
"360513","2","45","40",1997,"WP0CA2985VS6",1,NA,NA,"yes",0,"no","driver","other car"
"360514","1","23","481",2014,"1GCUKREC6EF1",1,NA,NA,"yes",0,"no","driver","pickup"
"360514","2","73","706",2007,"JKBVNKD117A0",2,NA,"disabling","yes",2,"no","driver","motorcycle"
"360515","1","6","441",2010,"2A4RR4DE4AR3",6,NA,NA,"yes",0,"no","other","van or bus"
"360515","2","72","706",2008,"1HD1JD5178Y0",1,55,NA,"yes",1,"no","driver","motorcycle"
"360515","3","76","706",2009,"JYAVP27E59A0",1,55,NA,"yes",0,"no","other","motorcycle"
"360516","1","6","43",2002,"1C3EL46X42N2",5,NA,NA,"no",1,"yes","other","4-door sedan"
"360517","1","42","42",2008,"WDDGF81X18F1",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360518","1","42","42",2004,"WDBRF81J84F4",1,NA,NA,"yes",0,"yes","driver","4-door sedan"
"360519","1","55","35",2003,"KMHDN55D93U0",1,30,NA,"yes",0,"no","other","4-door sedan"
"360520","1","82","881",2013,"3AKJGLDRXDSB",1,NA,"disabling","yes",1,"no","other","truck"
"360521","1","98","809",2007,"2FZHCHDC47AX",1,NA,NA,"yes",1,"no","other","truck"
