GEO_ID,NAME,F1519,F2024,F2529,F3034,F3539,F4044,F4549,F5054,F5559,F6064,F65up,F_medianage,Pop_total,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A6569,A7074,A7579,A8084,A85up,A65up,Pop_medianage,Pop_male,M0004,M0509,M1014,M1519,M2024,M2529,M3034,M3539,M4044,M4549,M5054,M5559,M6064,M65up,M_medianage,Pop_female,F0004,F0509,F1014
36081,Queens County,5.8,6.9,8.1,7.7,6.8,7.4,7.3,7.2,6.2,5.7,14.9,39,2233841,5.9,5.4,5.7,6.2,7.2,8.3,8,7.3,7.3,7.3,7.1,6.1,5.3,3.8,3,2.3,1.9,1.8,12.9,37.3,1081881,6.2,5.7,6,6.6,7.6,8.5,8.2,7.9,7.1,7.4,7.1,6,5,10.7,35.6,1151960,5.6,5.1,5.3
36083,Rensselaer County,6.3,7.2,5.9,6.3,6,7.2,7.8,8.1,7.2,5.6,15.6,41.2,159428,5.5,5.7,6.1,7.6,8.1,6,6.1,5.2,7.3,7.7,8.1,6.5,6.4,4,3.1,2.3,2.1,2.1,13.6,39.7,78946,5.3,5.8,6.5,9,9.1,6.2,6,4.5,7.4,7.5,8.1,5.8,7.2,11.6,38.2,80482,5.6,5.6,5.7
36085,Richmond County,6.7,6.2,6.1,6.4,6,8,7.6,7.7,6.5,6.5,14.4,40.4,469363,6,6.1,6.9,7.1,6.6,6.4,6.4,6.1,7.9,7.6,7.6,6.4,6.2,3.7,3.3,2.5,1.5,1.7,12.7,38.7,227792,6.4,5.8,7.9,7.5,7,6.7,6.4,6.2,7.9,7.6,7.6,6.4,5.8,10.9,36.8,241571,5.7,6.3,5.9
36087,Rockland County,7.7,5.8,4.9,5.1,6.1,6.5,7.3,7.1,6.2,5.9,15.2,38.5,312183,7.6,7.7,8,7.6,6.3,5.5,5.2,5.9,6.6,7.3,7.1,6.3,5.5,4.1,3.1,2.8,1.8,1.6,13.5,36.8,153027,8.1,7.9,8.5,7.5,6.9,6.1,5.4,5.8,6.7,7.2,7.1,6.3,5.1,11.6,34.8,159156,7.2,7.5,7.4
36089,St. Lawrence County,9.3,9.3,5.5,4.9,5.3,6.1,7.4,7.2,6.8,5.6,15.7,39.1,111894,5.7,5.5,5.9,9.1,10.3,5.9,5.2,5.5,6.3,7.2,7.2,6.5,5.9,3.9,3.4,2.9,2.3,1.2,13.8,37.3,56566,5.8,5.7,5.6,8.8,11.4,6.3,5.4,5.7,6.6,7.1,7.2,6.3,6.1,12,35.7,55328,5.6,5.2,6.2
36091,Saratoga County,5.9,5.3,5.3,6.1,7.6,7,8.2,8,7,6.6,15,41.6,219960,5.7,6.8,6.1,6.4,5.4,5.7,6,7.2,7.4,8.5,7.9,7,6.5,4.3,3.3,2,1.8,2.2,13.6,40.7,108534,5.9,7.1,6.3,6.8,5.5,6.1,5.9,6.8,7.7,8.7,7.8,7,6.3,12.2,39.8,111426,5.6,6.5,5.8
36093,Schenectady County,7.2,6.9,5.3,5.9,7.4,5.9,7.3,7.8,7.1,5.6,16.7,40.2,154889,5.9,6.5,6.2,7.2,7.1,5.9,5.9,6.1,6.7,7.6,7.6,7.2,5.6,3.8,2.9,2.2,2.7,3,14.6,39.3,74974,6.4,7.2,6.6,7.3,7.3,6.4,5.9,4.8,7.5,7.9,7.5,7.2,5.6,12.3,37.8,79915,5.5,5.8,5.7
36101,Steuben County,6.5,5,6,5.4,6.3,5.9,8.2,7.6,7.3,6.2,17.5,43,98930,5.7,6,7.2,6.9,5.2,5.9,5.5,5.6,6.5,8.1,7.8,7.5,6.2,5.2,3.1,2.6,2.5,2.5,15.9,41.4,48920,6.1,6.5,7.1,7.4,5.5,5.7,5.6,5,7.1,7.9,8,7.7,6.3,14.2,40.6,50010,5.4,5.5,7.3
36103,Suffolk County,6.7,5.7,5.2,5.6,6.3,7.9,8.5,7.8,6.8,5.4,15.3,41.1,1494434,5.8,6.1,7.6,7.1,6,5.5,5.7,6.4,7.8,8.6,7.9,6.7,5.3,4.3,3,2.4,2,1.8,13.6,39.8,735283,6,6.1,8.1,7.5,6.4,5.7,5.8,6.6,7.6,8.6,7.9,6.5,5.2,11.7,38.5,759151,5.5,6.1,7
36105,Sullivan County,5.8,6.4,5.4,5.5,4.3,7.5,8.1,9.1,7.9,6.8,16.3,43.1,77500,5.4,6.2,6.8,6.3,6.1,4.9,5.4,5.9,7.4,7.8,8.9,7.5,6.4,5.5,3.5,2.6,1.5,1.7,14.9,41.8,40318,6.6,6.4,6.9,6.8,5.9,4.5,5.4,7.4,7.2,7.5,8.7,7.2,6,13.5,40.1,37182,4.2,6,6.8
36109,Tompkins County,15.5,13.2,8,4.7,5.8,4.6,5.8,6.8,5.8,5.9,12.5,31.6,101620,4.2,4.3,3.6,14.9,15.6,8.7,4.9,5.1,4.8,5.4,6.1,5.8,5.7,2.7,2.9,1.6,2,1.7,11,29.2,49971,4.6,3.7,4.2,14.4,18.1,9.4,5,4.5,4.9,5,5.4,5.8,5.5,9.4,28.3,51649,3.8,4.7,3
36111,Ulster County,7.3,6.5,4.9,5.7,5.5,7,8.1,8.2,7.4,7,16.3,43.6,182435,4.8,6.1,5.2,7.7,6.5,5.6,5.6,5.8,7.3,8.2,8.4,7.4,6.6,4.7,3.1,2.2,2.3,2.5,14.7,42,89626,4.8,4.7,6.7,8.1,6.6,6.2,5.5,6,7.6,8.3,8.6,7.4,6.2,13.2,40.7,92809,4.8,7.4,3.7
36113,Warren County,5.9,4.6,5.8,5.6,5.4,6.5,8.6,8.5,7.8,7.2,18.8,45.4,65697,5,4.1,6.7,6.2,5.2,5.8,5.9,4.6,7.4,8.4,8.3,8.6,6.7,5.3,3.9,2.8,2.4,2.8,17.2,44.2,31898,5,5.1,6.3,6.4,5.9,5.8,6.3,3.8,8.4,8.2,8,9.4,6.1,15.4,43.4,33799,5.1,3.1,7
36117,Wayne County,6.6,5,5.4,4.7,5.5,6.8,9.7,8.6,5.7,7.9,15,42.3,93753,6.6,6.7,5.9,6.8,5.2,6,4.9,5.2,7.5,8.9,8.4,6.2,7.6,5.4,2.4,3.2,1.9,1.3,14.2,41.4,45907,6.1,6.5,6.5,7,5.5,6.6,5.1,5,8.2,8.1,8.3,6.6,7.3,13.2,40.8,47846,7,6.8,5.3
36119,Westchester County,6.4,5.3,5.3,5.8,5.5,8.4,8,7.7,6.7,5.7,16.7,41.8,950541,6,6.8,6.7,6.9,5.7,5.6,5.9,6,7.9,8,7.7,6.6,5.6,4.2,3.1,2.7,2.3,2.4,14.7,40.2,457547,6.4,6.8,7.6,7.3,6.1,5.8,5.9,6.6,7.4,8,7.7,6.4,5.6,12.5,38,492994,5.7,6.9,5.9
